x, y
0.021361855,0.006510466
0.021361855,0.084635461
0.010680927,0.159505298
0.046728989,0.133463583
0.076101462,0.081380303
0.117490018,0.071614678
0.160213605,0.055338588
0.190921294,0.081380303
0.209612841,0.081380303
0.263017417,0.081380303
0.35914558,0.123697959
0.452603434,0.081380303
0.61281704,0.110677176
0.805073366,0.068359371
0.897196189,0.100911552
0.060080102,0.872395881
0.025367195,0.66406246
0.010680927,0.742187456
0.024032041,0.83007815
0.030707628,0.862630256
0.072096122,0.859375023
0.089452637,0.872395881
0.089452637,0.872395881
0.093457977,0.83007815
0.093457977,0.781249953
0.128170884,0.852864632
0.021361855,0.966796892
0.029372535,1.051432279
0.025367195,1.155598989
0.093457977,0.999348998
0.093457977,0.999348998
0.105473997,0.976562516
0.142857152,1.097005242
0.149532739,0.973307283
0.186915954,1.002604157
0.190921294,0.963541659
0.212283027,1.041666654
0.252336428,1.015625014
0.280373809,0.986328141
0.332443231,0.937500019
0.344459251,0.989583374
0.355140239,1.051432279
0.702269676,1.002604157
0.838451241,1.018880247
0.966622125,0.992838532
